 2447  F   F-30-39        22                   0                      00:29:40 00:28:15    05:39
 2644  F   F-14-29        15                   0                      00:29:50 00:28:16    05:39
 3021  F   F-30-39        23                   0                      00:28:37 00:28:18    05:39
 3317  F   F-30-39        24                   0 CORRENTE DO BEM      00:33:18 00:28:19    05:39
 1802  F   F-40-49        25                   0 FT ASSESSORIA        00:28:49 00:28:22    05:40
 2717  F   F-40-49        26                   0                      00:28:49 00:28:22    05:40
 2239  F   F-14-29        16                   0 SERAFIM RUNNERS      00:28:39 00:28:25    05:40
 2325  F   F-40-49        27                   0 STUDIO JULIANA       00:32:28 00:28:31    05:42
 2882  F   F-40-49        28                   0                      00:28:57 00:28:33    05:42
 1258  F   F-40-49        29                   0 CASAL QUE CORRE      00:30:45 00:28:33    05:42
 1044  F   F-50-59        12                   0 AASP SOROCABA        00:28:38 00:28:37    05:43
 2116  F   F-30-39        25                   0 PEIXE PRO            00:29:16 00:28:38    05:43
 2029  F   F-14-29        17                   0 MOOD RUN             00:31:17 00:28:39    05:43
 1185  F   F-40-49        30                   0 ATLETISMO PILAR DO S 00:29:59 00:28:42    05:44
 3062  F   F-40-49        31                   0                      00:30:01 00:28:42    05:44
 3299  F   F-40-49        32                   0                      00:29:01 00:28:43    05:44
 1198  F   F-30-39        26                   0 AVULSA               00:29:05 00:28:46    05:45
 2677  F   F-30-39        27                   0                      00:29:27 00:28:46    05:45
 1207  F   F-40-49        33                   0 BEST RUN             00:29:05 00:28:47    05:45
 1379  F   F-40-49        34                   0 CORRENTE DO BEM RUN  00:29:20 00:28:48    05:45
 2030  F   F-14-29        18                   0 MOOD RUN             00:31:03 00:28:49    05:45
 2653  F   F-40-49        35                   0                      00:31:14 00:28:49    05:45
 2474  F   F-14-29        19                   0                      00:31:36 00:28:49    05:45
 1918  F   F-14-29        20                   0 I9 CENTRO DE TREINAM 00:29:53 00:28:50    05:45
 2128  F   F-40-49        36                   0 PIEDADE              00:29:50 00:28:55    05:46
 2044  F   F-40-49        37                   0 MSTEAM               00:33:54 00:28:55    05:46
 2530  F   F-40-49        38                   0                      00:32:55 00:28:59    05:47
 1197  F   F-50-59        13                   0 AUCB                 00:29:12 00:29:04    05:48
 1973  F   F-40-49        39                   0 LAMBRETTA            00:30:20 00:29:04    05:48
 2042  F   F-14-29        21                   0 MS TEAM              00:34:03 00:29:05    05:48
 1276  F   F-30-39        28                   0 CORNETAS RUNNING     00:30:17 00:29:06    05:49
 3193  F   F-30-39        29                   0                      00:29:10 00:29:09    05:49
 3205  F   F-50-59        14                   0                      00:30:06 00:29:09    05:49
 1482  F   F-40-49        40                   0 DOUG VIEIRA          00:29:25 00:29:11    05:49
 1310  F   F-50-59        15                   0 CORRENTE DO BEM      00:29:18 00:29:14    05:50
 2934  F   F-14-29        22                   0                      00:30:44 00:29:22    05:52
 2039  F   F-14-29        23                   0 MOVIMENTO   SA DE    00:32:01 00:29:25    05:52
 3327  F   F-40-49        41                   0                      00:36:59 00:29:25    05:52
 2391  F   F-30-39        30                   0 VELOCY TEAM          00:37:00 00:29:26    05:52
 3086  F   F-14-29        24                   0                      00:29:31 00:29:29    05:53
 2418  F   F-14-29        25                   0 WILL TEAM            00:29:40 00:29:31    05:54
 1660  F   F-40-49        42                   0 EQUIPE ENERGIA       00:29:32 00:29:32    05:54
 1545  F   F-40-49        43                   0 EDER PIRES ASSESSORI 00:30:40 00:29:32    05:54
 3179  F   F-30-39        31                   0                      00:35:18 00:29:33    05:54
 1567  F   F-40-49        44                   0 ELITE                00:30:55 00:29:34    05:54
 3257  F   F-30-39        32                   0                      00:30:17 00:29:35    05:54
 1909  F   F-30-39        33                   0 I9 CENTRO DE TREINAM 00:30:37 00:29:35    05:54
 2132  F   F-40-49        45                   0 POWER RUN            00:32:50 00:29:36    05:55
 2109  F   F-40-49        46                   0 PE VERMELHO TATU     00:30:21 00:29:40    05:55
 1570  F   F-40-49        47                   0 ELITE RUNNERS        00:30:48 00:29:42    05:56
 2090  F   F-40-49        48                   0 OS PRIMOS            00:29:54 00:29:48    05:57
 1142  F   F-14-29        26                   0 ANGARUNNER           00:30:21 00:30:00    06:00
 1120  F   F-40-49        49                   0 AMANDA LIBANEO       00:30:18 00:30:01    06:00
 1283  F   F-30-39        34                   0 CORRE CABREUVA       00:31:11 00:30:01    06:00
 1281  F   F-30-39        35                   0 CORRE CABREUVA       00:31:12 00:30:01    06:00
 1473  F   F-40-49        50                   0 DIVAS SOROCABA       00:31:46 00:30:04    06:00
 1426  F   F-14-29        27                   0 CROSSX               00:34:25 00:30:05    06:00
 1232  F   F-60-69         3                   0 BOX CASTRO           00:31:25 00:30:08    06:01
 1620  F   F-50-59        16                   0 EQUIPE ENERGIA       00:30:21 00:30:09    06:01
 3239  F   F-30-39        36                   0                      00:37:09 00:30:11    06:01
 2302  F   F-30-39        37                   0 SPORT MIND           00:30:34 00:30:14    06:02
 3063  F   F-30-39        38                   0                      00:31:05 00:30:16    06:03
 2506  F   F-30-39        39                   0                      00:30:38 00:30:18    06:03
 1390  F   F-40-49        51                   0 CORRENTE DO BEM RUN  00:35:19 00:30:19    06:03
 2217  F   F-40-49        52                   0 SEM                  00:31:27 00:30:20    06:03
 1043  F   F-50-59        17                   0 AASP                 00:30:33 00:30:21    06:04
 2941  F   F-14-29        28                   0                      00:32:48 00:30:21    06:04
 2942  F   F-30-39        40                   0                      00:32:49 00:30:22    06:04
 2345  F   F-60-69         4                   0 TITANIUM RUNNERS     00:31:41 00:30:23    06:04
 2079  F   F-30-39        41                   0 OS KANSADOS          00:31:03 00:30:24    06:04
 1602  F   F-40-49        53                   0 EQUIPE BILL          00:32:06 00:30:24    06:04
 3015  F   F-14-29        29                   0                      00:37:08 00:30:25    06:04
 2049  F   F-40-49        54                   0 MUNDO ACQUA E FITNES 00:30:29 00:30:26    06:04
 1320  F   F-40-49        55                   0 CORRENTE DO BEM RUN  00:30:29 00:30:26    06:04
 1313  F   F-30-39        42                   0 CORRENTE DO BEM      00:31:00 00:30:28    06:05
 2076  F   F-14-29        30                   0 OS KANSADOS          00:31:11 00:30:28    06:05
 2645  F   F-40-49        56                   0                      00:31:25 00:30:28    06:05
 3281  F   F-30-39        43                   0                      00:36:27 00:30:31    06:06
 1438  F   F-14-29        31                   0 D BORA               00:30:55 00:30:35    06:06
 1067  F   F-40-49        57                   0 AASP SOROCABA-SP     00:30:38 00:30:36    06:07
 3202  F   F-30-39        44                   0                      00:32:57 00:30:39    06:07
 2693  F   F-30-39        45                   0                      00:37:26 00:30:39    06:07
 3053  F   F-14-29        32                   0                      00:31:08 00:30:43    06:08
 1549  F   F-30-39        46                   0 EDER PIRES ASSESSORI 00:31:58 00:30:44    06:08
 2545  F   F-30-39        47                   0                      00:33:31 00:30:45    06:09
 2893  F   F-14-29        33                   0                      00:31:02 00:30:46    06:09
 3008  F   F-14-29        34                   0                      00:37:08 00:30:48    06:09
 2069  F   F-14-29        35                   0 OS CAR UDOS          00:33:06 00:30:50    06:09
 1580  F   F-40-49        58                   0 EQUIPE BILL          00:31:04 00:30:52    06:10
 3255  F   F-14-29        36                   0                      00:30:59 00:30:54    06:10
 1372  F   F-40-49        59                   0 CORRENTE DO BEM RUN  00:37:46 00:31:01    06:12
 2571  F   F-14-29        37                   0                      00:31:10 00:31:04    06:12
 1460  F   F-30-39        48                   0 DIVAS QUE CORREM     00:31:20 00:31:05    06:12
 1636  F   F-40-49        60                   0 EQUIPE ENERGIA       00:31:22 00:31:05    06:12
 1612  F   F-40-49        61                   0 EQUIPE BILL          00:31:25 00:31:07    06:13
 1285  F   F-30-39        49                   0 CORRE CABREUVA       00:31:27 00:31:07    06:13
 1571  F   F-40-49        62                   0 ELITE RUNNERS ITAPET 00:32:19 00:31:08    06:13
 1154  F   F-40-49        63                   0 ARA OIABA            00:32:24 00:31:08    06:13
 2651  F   F-30-39        50                   0                      00:31:37 00:31:12    06:14
 2876  F   F-50-59        18                   0                      00:32:38 00:31:13    06:14
 1141  F   F-40-49        64                   0 ANGARUNNER           00:35:25 00:31:14    06:14
 1152  F   F-14-29        38                   0 ARA OIABA            00:33:03 00:31:17    06:15
 2927  F   F-50-59        19                   0                      00:33:54 00:31:17    06:15
 1799  F   F-40-49        65                   0 FT ASSESSORIA        00:31:42 00:31:18    06:15
 2065  F   F-40-49        66                   0 OS CAR UDOS          00:34:06 00:31:19    06:15
 2456  F   F-40-49        67                   0                      00:31:40 00:31:20    06:15
 1217  F   F-30-39        51                   0 BOTECCHIA TRAINER    00:31:58 00:31:20    06:15
 1177  F   F-14-29        39                   0 ASSOCIA  O CRIST  DE 00:35:22 00:31:21    06:16
 2210  F   F-60-69         5                   0 S O MIGUEL ARCANJO   00:31:33 00:31:23    06:16
 2531  F   F-30-39        52                   0                      00:33:15 00:31:24    06:16
 3254  F   F-14-29        40                   0                      00:37:09 00:31:24    06:16
 2762  F   F-40-49        68                   0                      00:31:41 00:31:25    06:16
 1234  F   F-30-39        53                   0 BRUNA                00:36:19 00:31:25    06:16
 1443  F   F-30-39        54                   0 DIAMENTES 4188       00:36:59 00:31:26    06:16
 1132  F   F-30-39        55                   0 ANA MAYUMI KIMOTO    00:31:38 00:31:27    06:17
 1944  F   F-14-29        41                   0 IF RUNNING           00:34:37 00:31:27    06:17
 1186  F   F-40-49        69                   0 ATLETISMO SARAPUI    00:32:09 00:31:28    06:17
 2704  F   F-30-39        56                   0                      00:31:50 00:31:31    06:18
 2072  F   F-30-39        57                   0 OS DESPREPARADOS     00:39:34 00:31:32    06:18
 2106  F   F-50-59        20                   0 PAULA                00:32:24 00:31:34    06:18
 1732  F   F-14-29        42                   0 FARMA PONTE          00:32:26 00:31:34    06:18
 2458  F   F-30-39        58                   0                      00:31:47 00:31:36    06:19
 2957  F   F-40-49        70                   0                      00:35:53 00:31:36    06:19
 2806  F   F-30-39        59                   0                      00:31:56 00:31:37    06:19
 2214  F   F-60-69         6                   0 SELJ PILAR DO SUL    00:33:32 00:31:41    06:19
 2283  F   F-14-29        43                   0 SPORT MIND           00:34:08 00:31:41    06:19
 1784  F   F-14-29        44                   0 FLAVIA E JHENIFER    00:34:50 00:31:41    06:19
 1785  F   F-14-29        45                   0 FL VIA E JHENIFER    00:34:51 00:31:41    06:19
 1436  F   F-30-39        60                   0 DAMARIS              00:31:54 00:31:42    06:20
 2768  F   F-30-39        61                   0                      00:32:46 00:31:42    06:20
 1642  F   F-30-39        62                   0 EQUIPE ENERGIA       00:32:10 00:31:46    06:21
 3247  F   F-14-29        46                   0                      00:34:56 00:31:47    06:21
 1633  F   F-14-29        47                   0 EQUIPE ENERGIA       00:35:34 00:31:47    06:21
 2480  F   F-30-39        63                   0                      00:34:48 00:31:52    06:22
 3119  F   F-60-69         7                   0                      00:32:09 00:31:55    06:22
 1753  F   F-30-39        64                   0 FAST CORREDORES      00:32:08 00:31:56    06:22
 1335  F   F-50-59        21                   0 CORRENTE DO BEM RUN  00:32:24 00:31:56    06:22
 2159  F   F-40-49        71                   0 RIO BRANCO RUNNERS/  00:32:37 00:31:56    06:22
 2844  F   F-40-49        72                   0                      00:32:58 00:31:57    06:23
 3035  F   F-30-39        65                   0                      00:32:33 00:31:58    06:23
 2543  F   F-14-29        48                   0                      00:38:51 00:32:00    06:24
 1591  F   F-40-49        73                   0 EQUIPE BILL          00:34:30 00:32:05    06:24
 1608  F   F-30-39        66                   0 EQUIPE BILL          00:32:21 00:32:06    06:25
 2937  F   F-30-39        67                   0                      00:32:25 00:32:08    06:25
 2171  F   F-40-49        74                   0 RS RUNNING           00:34:56 00:32:08    06:25
 2127  F   F-40-49        75                   0 PIEDADE              00:34:19 00:32:09    06:25
 2378  F   F-30-39        68                   0 VAMU CORRER IBIUNA   00:34:40 00:32:09    06:25
 2615  F   F-50-59        22                   0                      00:32:38 00:32:12    06:26
 1616  F   F-30-39        69                   0 EQUIPE ENERGIA       00:34:18 00:32:12    06:26
 2763  F   F-14-29        49                   0                      00:32:53 00:32:13    06:26
 2314  F   F-30-39        70                   0 STUDIO BORGATTO      00:35:58 00:32:13    06:26
 1134  F   F-14-29        50                   0 ANGARUNNER           00:36:25 00:32:14    06:26
