NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
17/10/1964,Feminino,Pilar do Sul,,5 KM
08/05/1991,Feminino,Sorocaba,,5 KM
25/02/1994,Feminino,Sorocaba,Chemyunion,5 KM
21/03/1984,Feminino,Sorocaba,,5 KM
26/02/1994,Masculino,Pilar do Sul,,5 KM
04/05/1984,Feminino,Sorocaba,,5 KM
11/03/1988,Masculino,Sorocaba,,5 KM
08/03/1996,Feminino,Sorocaba,,5 KM
21/08/1993,Masculino,Sorocaba,,5 KM
18/02/1983,Feminino,Pilar do Sul,,3 KM CAMINHADA
31/05/1964,Feminino,Pilar do Sul,,5 KM
29/05/1998,Feminino,Sorocaba,Start Run,5 KM
04/10/2002,Feminino,Mairinque,,5 KM
20/01/1993,Masculino,Sorocaba,Start run,5 KM
17/04/1992,Feminino,Sorocaba,You Can Run,5 KM
09/07/1965,Masculino,Salto,,5 KM
25/05/1987,Feminino,Sorocaba,YouCanRun,5 KM
30/12/1988,Masculino,Sorocaba,,5 KM
24/04/2004,Feminino,Sorocaba,,5 KM
29/08/2003,Feminino,Sorocaba,,5 KM
02/07/1994,Feminino,Sorocaba,You Can Run,5 KM
18/09/2003,Feminino,Sorocaba,,5 KM
10/08/1991,Feminino,Sorocaba,YOU CAN RUN,10 KM
12/04/2010,Masculino,Sorocaba,,5 KM
05/04/1999,Feminino,Sorocaba,,5 KM
27/11/1967,Masculino,Salto,S&S,5 KM
10/06/1970,Masculino,Sorocaba,,10 KM
08/05/1988,Masculino,Sorocaba,,5 KM
10/02/1964,Masculino,Sorocaba,BOMBAS PAULO,5 KM
29/11/2000,Masculino,São Miguel Arcanjo,,5 KM
11/06/1984,Masculino,Sorocaba,,5 KM
30/10/2002,Masculino,São Miguel Arcanjo,,5 KM
26/11/1989,Feminino,Angatuba,Morais Team 92,5 KM
25/01/1991,Feminino,Sorocaba,RUN UP,10 KM
28/07/1988,Feminino,Sorocaba,,5 KM
23/08/1983,Feminino,Sorocaba,,5 KM
27/06/1972,Masculino,Sorocaba,,10 KM
20/02/1993,Feminino,Sorocaba,Amanda Libaneo Assessoria Esportiva,5 KM
25/06/1967,Feminino,Sorocaba,,3 KM CAMINHADA
11/04/1993,Feminino,Angatuba,,5 KM
09/12/1994,Feminino,Sorocaba,,5 KM
09/07/1982,Feminino,Sorocaba,,10 KM
01/04/1987,Masculino,Sorocaba,,5 KM
15/07/1982,Feminino,Sorocaba,,5 KM
29/05/1996,Feminino,Angatuba,AngaRunner,5 KM
07/07/1994,Feminino,Sorocaba,,5 KM
14/03/1979,Feminino,Porto Feliz,,5 KM
10/07/1980,Masculino,Araçariguama,,5 KM
18/01/1988,Masculino,Sorocaba,,10 KM
31/01/1984,Feminino,Sorocaba,,5 KM
14/07/1984,Masculino,Sorocaba,Foto JJ,5 KM
28/10/1948,Feminino,Araçoiaba da Serra,FT ASSESSORIA,5 KM
22/07/1982,Feminino,Sorocaba,Chama o Samu,5 KM
14/01/1984,Feminino,Sorocaba,Chama o Samu,5 KM
28/12/2006,Feminino,Votorantim,,5 KM
22/07/1973,Feminino,Barueri,Chama o Samu,5 KM
31/07/1992,Masculino,Sorocaba,Ms team,5 KM
05/06/1994,Feminino,Sorocaba,Ms team,5 KM
18/11/1986,Feminino,Sorocaba,,5 KM
07/11/1965,Feminino,Salto,,5 KM
30/06/1973,Feminino,Sorocaba,,5 KM
14/02/2006,Feminino,Sorocaba,,5 KM
03/06/2002,Masculino,Sorocaba,,PCD
28/10/1989,Feminino,Sorocaba,Chicas Run,5 KM
04/11/1994,Masculino,Sorocaba,LIVE+ assessoria,5 KM
17/01/1993,Masculino,Sorocaba,,10 KM
12/04/1972,Masculino,Araçoiaba da Serra,,10 KM
05/06/1988,Feminino,Sorocaba,Chicas Run,5 KM
27/03/1994,Feminino,Sorocaba,Chicas Run,5 KM
21/03/1996,Feminino,Sorocaba,chicas run,5 KM
24/08/1986,Feminino,Sorocaba,,5 KM
27/10/1970,Feminino,Sorocaba,MM,10 KM
19/03/1989,Masculino,Araçoiaba da Serra,,5 KM
29/12/1988,Masculino,Sorocaba,,5 KM
31/12/1990,Feminino,Sorocaba,,5 KM
04/12/1990,Feminino,Araçoiaba da Serra,,5 KM
15/03/1983,Masculino,Araçoiaba da Serra,,5 KM
19/01/1980,Masculino,Sorocaba,,5 KM
16/08/1989,Feminino,Araçoiaba da Serra,Corredores de Araçoiaba,5 KM
02/03/1991,Feminino,Araçoiaba da Serra,Corredores de Araçoiaba,5 KM
04/10/1985,Feminino,Sorocaba,,10 KM
31/01/1990,Masculino,Sorocaba,,5 KM
27/03/2007,Feminino,Sorocaba,,5 KM
07/11/1989,Masculino,Sorocaba,Foto JJ,10 KM
19/05/1968,Feminino,São Roque,,5 KM
03/04/2000,Masculino,Votorantim,Nexxus run,5 KM
29/06/1994,Masculino,Sorocaba,Foto JJ,10 KM
12/07/1967,Masculino,Votorantim,TRIED,10 KM
25/11/1983,Masculino,Sorocaba,Conal,10 KM
12/04/1991,Feminino,Araçoiaba da Serra,Assessoria Peixepro,5 KM
21/06/1964,Masculino,Sarapuí,Atletismo Sarapui,10 KM
03/01/1988,Feminino,Sorocaba,Divas que correm,10 KM
14/04/1994,Masculino,Sorocaba,,10 KM
15/10/1993,Feminino,Sorocaba,,5 KM
17/06/1996,Feminino,Araçoiaba da Serra,,5 KM
20/03/1993,Masculino,Araçoiaba da Serra,,5 KM
06/01/1971,Feminino,Itu,Equipe do chip,5 KM
26/08/1968,Masculino,Sorocaba,,5 KM
17/06/2010,Masculino,Araçariguama,Aassp,5 KM
24/08/1998,Feminino,Sorocaba,Lumajax,5 KM
19/02/1988,Feminino,Salto de Pirapora,,5 KM
13/11/1977,Masculino,Salto de Pirapora,,10 KM
10/04/1995,Feminino,Campinas,,10 KM
08/12/1994,Masculino,Campinas,,10 KM
18/04/2002,Feminino,Sorocaba,Cuxos,5 KM
18/11/1992,Feminino,Sorocaba,,5 KM
20/12/1999,Masculino,Sorocaba,,5 KM
18/06/1988,Feminino,Sorocaba,,5 KM
23/06/1959,Feminino,Sorocaba,,5 KM
23/06/1959,Feminino,Sorocaba,,5 KM
30/05/1974,Feminino,Sorocaba,,5 KM
04/06/1989,Feminino,Sorocaba,,10 KM
24/08/1964,Masculino,Sorocaba,Individual,10 KM
27/01/2003,Feminino,Salto,,3 KM CAMINHADA
04/08/1963,Feminino,Salto,,3 KM CAMINHADA
31/03/1989,Feminino,Mairinque,,PCD
26/06/1995,Feminino,Votorantim,Power Run Itapetininga,5 KM
14/10/1970,Feminino,Itapetininga,Power Run Itapetininga,5 KM
27/11/1987,Masculino,Sorocaba,,5 KM
01/06/1993,Feminino,Sorocaba,CROSSX,5 KM
07/06/1977,Masculino,Sorocaba,,3 KM CAMINHADA
29/10/1988,Masculino,Itu,Crossx,10 KM
06/07/1995,Masculino,Votorantim,Power Run Itapetininga,5 KM
24/09/2009,Masculino,Sorocaba,,5 KM
09/06/1982,Feminino,Mairinque,Equipe Bill,5 KM
11/09/1996,Feminino,Sorocaba,,5 KM
25/04/1989,Feminino,Sorocaba,,5 KM
26/12/2009,Masculino,Sorocaba,Live,5 KM
17/10/1985,Masculino,Sorocaba,,10 KM
09/03/2002,Feminino,Sorocaba,,5 KM
11/04/1987,Masculino,Mairinque,Equipe Bill,5 KM
14/11/1989,Feminino,Sorocaba,,5 KM
05/07/1990,Feminino,Sorocaba,CROSSX,5 KM
08/01/1990,Masculino,Votorantim,,5 KM
05/12/1990,Masculino,Sorocaba,,5 KM
17/08/1984,Feminino,Sorocaba,,5 KM
03/01/2002,Feminino,São Miguel Arcanjo,Sem equipe,5 KM
05/12/1996,Feminino,Sorocaba,,5 KM
15/10/1992,Feminino,Votorantim,,10 KM
11/07/1995,Feminino,Sorocaba,Amanda Libaneo Assessoria Esportiva,5 KM
14/01/1988,Masculino,Sorocaba,,5 KM
26/08/1987,Feminino,Sorocaba,,5 KM
01/11/1981,Feminino,Iperó,Loucos por corrida,5 KM
18/02/1991,Masculino,Sorocaba,Spsrun,5 KM
30/11/1987,Masculino,Sorocaba,,5 KM
23/09/1987,Feminino,Sorocaba,,5 KM
26/11/1978,Feminino,Sorocaba,,10 KM
01/02/1988,Feminino,São Miguel Arcanjo,,5 KM
20/09/1984,Feminino,Sorocaba,Avulso,5 KM
19/02/1991,Masculino,Salto de Pirapora,,5 KM
20/02/1992,Feminino,Salto de Pirapora,Salto de Pirapora,5 KM
21/12/1992,Feminino,Sorocaba,,10 KM
25/06/1986,Masculino,Sorocaba,,5 KM
16/12/1989,Masculino,Boituva,,10 KM
26/06/1996,Masculino,Boituva,Cornetas Running,10 KM
03/04/1987,Feminino,Sorocaba,,10 KM
05/05/1985,Masculino,Boituva,Cornetas Running,5 KM
25/02/2006,Feminino,Sorocaba,,5 KM
25/07/2000,Feminino,Sorocaba,,5 KM
11/07/1992,Masculino,Sorocaba,Manu performance,5 KM
27/09/1990,Feminino,Sorocaba,,5 KM
23/12/1988,Feminino,Votorantim,,5 KM
22/11/1987,Masculino,Mairinque,,5 KM
15/08/1947,Feminino,Capão Bonito,Tal Mãe Tal Filha,5 KM
14/04/1983,Feminino,Sorocaba,,5 KM
05/04/1980,Masculino,Sorocaba,,5 KM
07/02/1999,Feminino,Votorantim,,5 KM
25/10/1972,Masculino,Sorocaba,,5 KM
22/07/2000,Masculino,Sorocaba,,5 KM
15/03/1993,Feminino,Sorocaba,RunVibes,10 KM
29/11/1995,Masculino,Votorantim,OLRSO,5 KM
20/02/1979,Masculino,Sorocaba,,5 KM
02/10/1990,Masculino,Votorantim,Garagem wd,10 KM
07/03/1994,Masculino,Sorocaba,Garagem wd,10 KM
23/12/1980,Feminino,Sorocaba,,5 KM
11/06/1981,Feminino,Capão Bonito,Total healthy,5 KM
14/06/1988,Feminino,Sorocaba,,10 KM
11/04/1994,Feminino,Sorocaba,,5 KM
02/08/1994,Feminino,Capão Bonito,Aucb,5 KM
25/01/1990,Feminino,Sorocaba,,10 KM
01/02/1985,Masculino,Sorocaba,,5 KM
21/12/2004,Masculino,Sorocaba,MoodRun,5 KM
01/10/1982,Feminino,Sorocaba,,10 KM
11/06/1981,Masculino,Sorocaba,,10 KM
18/01/2000,Feminino,Campina do Monte Alegre,,10 KM
01/01/2004,Feminino,Angatuba,Sem equipe,10 KM
31/07/1993,Feminino,Sorocaba,Mood Run,5 KM
28/06/1991,Feminino,Sorocaba,,3 KM CAMINHADA
08/07/1989,Masculino,Sorocaba,Moodrun,10 KM
05/03/1987,Masculino,sorocaba,,5 KM
05/01/1960,Feminino,Sorocaba,,3 KM CAMINHADA
20/02/1995,Masculino,Sorocaba,Mood Run,5 KM
01/09/1990,Feminino,Vinhedo,Gmais treinamento,10 KM
11/02/1987,Feminino,Sorocaba,Mood Run / Full studio,10 KM
22/02/1996,Masculino,Sorocaba,,10 KM
09/09/1994,Feminino,Sorocaba,Chemyunion,5 KM
10/03/1996,Masculino,Sorocaba,,5 KM
27/06/1986,Feminino,Botucatu,,3 KM CAMINHADA
09/09/1999,Feminino,Sorocaba,,5 KM
10/01/1987,Feminino,Sorocaba,,5 KM
18/05/1983,Feminino,Sorocaba,Atitude,10 KM
01/04/2002,Masculino,Sorocaba,,5 KM
19/04/2004,Masculino,Sorocaba,,5 KM
26/12/1987,Masculino,Sorocaba,,5 KM
15/12/1975,Masculino,Sorocaba,Equipe 6 canecos,5 KM
06/09/1995,Feminino,Iperó,,5 KM
05/06/1998,Masculino,Sorocaba,,10 KM
16/12/1998,Feminino,Boituva,,5 KM
08/06/1999,Masculino,Sorocaba,,5 KM
02/04/2004,Masculino,Boituva,Nenhuma,5 KM
08/05/1998,Masculino,Sorocaba,Avulso,5 KM
02/08/1997,Feminino,Itu,Os Kansados,5 KM
20/09/1991,Feminino,Itu,OS Kansados,5 KM
26/05/1998,Feminino,Boituva,,5 KM
11/01/1983,Masculino,Sorocaba,,10 KM
21/09/1988,Masculino,Sorocaba,Full studio/ Mood Run,10 KM
01/07/1988,Feminino,Sorocaba,Udg,5 KM
18/06/1972,Masculino,Sorocaba,Udg,10 KM
07/08/2001,Masculino,Sorocaba,Udg,10 KM
30/12/2001,Feminino,Sorocaba,,5 KM
26/07/1975,Feminino,Sorocaba,Udg,5 KM
03/04/1977,Masculino,Sorocaba,mood run,5 KM
15/06/1979,Feminino,Sorocaba,,5 KM
03/09/1982,Feminino,Sorocaba,mood run,5 KM
02/01/1976,Feminino,Sarapuí,15,3 KM CAMINHADA
09/07/1945,Feminino,Sarapuí,15,5 KM
29/11/1979,Masculino,Votorantim,,5 KM
16/08/1983,Feminino,Votorantim,,10 KM
04/09/1961,Masculino,Sete Barras,,10 KM
13/12/1989,Masculino,Votorantim,,10 KM
17/04/1998,Feminino,Alumínio,,5 KM
27/12/1986,Feminino,Araçariguama,Alta performance,5 KM
28/01/2012,Masculino,Sorocaba,TRC,PCD
15/03/2001,Feminino,Sorocaba,,5 KM
27/04/2002,Feminino,Sorocaba,,5 KM
26/04/1996,Masculino,Sorocaba,,5 KM
14/05/1996,Feminino,Sorocaba,UDG RUNNING,5 KM
07/03/1977,Feminino,Sorocaba,,5 KM
18/09/1996,Masculino,Sorocaba,,5 KM
01/02/2002,Feminino,Sorocaba,,5 KM
05/10/1986,Feminino,Araçariguama,Alta Performance,5 KM
08/07/1967,Masculino,Sorocaba,MM,10 KM
01/02/1991,Masculino,Sorocaba,,5 KM
02/12/2002,Feminino,Sorocaba,,5 KM
13/02/1974,Feminino,Sorocaba,,5 KM
27/02/2007,Feminino,Sorocaba,,5 KM
24/02/1992,Feminino,Sorocaba,,5 KM
20/01/2003,Masculino,Sorocaba,,5 KM
01/08/1995,Feminino,Sorocaba,,5 KM
27/02/1999,Masculino,Sorocaba,,5 KM
15/03/2001,Feminino,Sorocaba,,5 KM
07/01/1994,Feminino,Sorocaba,,5 KM
24/06/1982,Feminino,Votorantim,,5 KM
26/07/1983,Feminino,Sorocaba,,5 KM
27/12/1986,Feminino,Sorocaba,,10 KM
02/08/2010,Masculino,Sorocaba,,5 KM
01/02/1993,Feminino,Sorocaba,Ester10-fp2025,5 KM
15/09/1982,Feminino,Pilar do Sul,YASUDA Team,5 KM
13/02/1982,Masculino,Sorocaba,Velocy,10 KM
22/06/1982,Feminino,Sorocaba,,5 KM
06/09/1999,Masculino,Votorantim,MDDOM,10 KM
15/07/1993,Feminino,Alumínio,,5 KM
26/03/1980,Feminino,Sorocaba,,5 KM
27/05/1975,Feminino,Sorocaba,,5 KM
14/12/1949,Feminino,Sorocaba,,3 KM CAMINHADA
12/12/1952,Masculino,Sorocaba,,3 KM CAMINHADA
27/09/1968,Feminino,Sorocaba,,3 KM CAMINHADA
29/11/2004,Feminino,Sorocaba,,5 KM
04/02/1965,Feminino,Sorocaba,,5 KM
24/12/2001,Feminino,sorocaba,,5 KM
15/05/2001,Feminino,Sorocaba,,5 KM
22/03/1998,Masculino,Sorocaba,,5 KM
22/07/2025,Feminino,Mairinque,,5 KM
07/11/2000,Masculino,Sorocaba,Toya Runners club,5 KM
11/01/2002,Feminino,Votorantim,,5 KM
19/10/2001,Feminino,Sorocaba,,5 KM
27/10/1986,Feminino,Sorocaba,,5 KM
03/05/1954,Masculino,Sorocaba,,3 KM CAMINHADA
02/04/2000,Feminino,Sorocaba,,5 KM
23/04/1984,Feminino,Sorocaba,FT ASSESSORIA,5 KM
07/12/2011,Masculino,Sorocaba,FT assessoria,5 KM
20/01/2001,Masculino,Votorantim,,5 KM
22/01/1994,Feminino,Sorocaba,UDG,5 KM
17/12/1991,Feminino,Sorocaba,,5 KM
10/09/1989,Feminino,Sorocaba,UDG,5 KM
27/07/2005,Feminino,Votorantim,,5 KM
30/10/1999,Feminino,Sorocaba,,10 KM
10/07/1999,Feminino,Votorantim,,5 KM
07/09/1956,Feminino,Sorocaba,,3 KM CAMINHADA
01/11/1995,Feminino,Sorocaba,Não tem,5 KM
18/11/1981,Masculino,São Roque,,10 KM
27/11/2001,Feminino,Tatuí,,10 KM
06/12/1953,Masculino,SOROCABA,ASSECEX,5 KM
10/02/1983,Feminino,Sorocaba,,5 KM
08/08/1986,Feminino,Sorocaba,,5 KM
16/09/1976,Masculino,Osasco,Avulso,10 KM
17/12/1971,Feminino,Araçariguama,Altaperformance,5 KM
11/02/1968,Masculino,Araçariguama,Altaperformance,5 KM
28/05/1997,Masculino,Araçoiaba da Serra,,5 KM
17/05/1996,Masculino,Sorocaba,,10 KM
21/01/1989,Feminino,Sorocaba,,10 KM
26/11/2002,Feminino,Sorocaba,,5 KM
12/03/1995,Masculino,Sorocaba,,10 KM
15/07/1987,Feminino,Sorocaba,,5 KM
28/10/1990,Feminino,Itu,Avulso,5 KM
16/02/1986,Masculino,Itu,,10 KM
10/05/1986,Masculino,Sorocaba,,5 KM
29/10/1987,Feminino,Sorocaba,,5 KM
24/05/1994,Feminino,Itu,,5 KM
31/12/1991,Feminino,Sorocaba,,5 KM
01/10/2003,Feminino,Sorocaba,,5 KM
28/08/1984,Feminino,Sorocaba,,5 KM
25/07/1990,Feminino,Salto de Pirapora,,5 KM
14/04/1997,Feminino,Sorocaba,,5 KM
06/06/2002,Feminino,Votorantim,,3 KM CAMINHADA
04/10/1999,Feminino,Sorocaba,,5 KM
02/07/1975,Feminino,Sorocaba,,5 KM
01/07/1991,Feminino,Sorocaba,,5 KM
21/05/1987,Feminino,Sorocaba,,5 KM
22/08/1998,Feminino,Votorantim,,5 KM
15/01/1991,Masculino,Sorocaba,,10 KM
08/01/1994,Masculino,Sorocaba,M10,10 KM
14/07/1983,Feminino,Sorocaba,,3 KM CAMINHADA
25/08/1999,Feminino,Sorocaba,,5 KM
15/03/1999,Masculino,Sorocaba,,5 KM
03/04/1992,Feminino,Sorocaba,corredores de plantao,5 KM
26/07/1996,Masculino,Sorocaba,,5 KM
19/06/2002,Feminino,Sorocaba,,5 KM
09/11/2007,Feminino,Sorocaba,,5 KM
13/05/1977,Feminino,Sorocaba,,5 KM
20/10/1976,Masculino,VOTORANTIM,Camargo Runing,10 KM
19/06/1989,Feminino,Capela do Alto,Inove,5 KM
21/07/1989,Feminino,Sorocaba,,5 KM
13/08/1990,Feminino,Sorocaba,,10 KM
22/04/1987,Masculino,mairinque,Equipe biil,5 KM
17/01/1981,Feminino,Sorocaba,,10 KM
27/08/1995,Feminino,Sorocaba,,5 KM
29/05/1996,Masculino,Iperó,453.461.558-21,10 KM
13/01/1981,Masculino,Sorocaba,,10 KM
22/11/1988,Masculino,Sorocaba,UDG,5 KM
14/03/2001,Feminino,Sorocaba,,5 KM
15/06/1983,Masculino,Araçoiaba da Serra,,5 KM
28/07/2004,Masculino,Votorantim,Toya Runners Club,5 KM
17/08/2000,Masculino,Sorocaba,,5 KM
14/06/1982,Feminino,Sorocaba,,5 KM
09/06/2000,Masculino,Sorocaba,,5 KM
25/12/1987,Feminino,Sorocaba,,10 KM
27/12/1969,Masculino,Sorocaba,,5 KM
27/11/1984,Feminino,Sorocaba,,5 KM
05/06/1975,Masculino,Sorocaba,Individual,5 KM
04/01/1994,Feminino,Alumínio,,3 KM CAMINHADA
31/08/1979,Feminino,Votorantim,Vamucorreribiuna,3 KM CAMINHADA
17/11/1994,Masculino,Sorocaba,,10 KM
27/06/1985,Feminino,Votorantim,FT ASSESSORIA,5 KM
18/12/1992,Masculino,Sorocaba,ACM,5 KM
28/12/1994,Feminino,Sorocaba,Pep Run,10 KM
29/04/1998,Feminino,Sorocaba,,5 KM
30/03/1989,Feminino,São Paulo,Vamos Correr Ibiúna,3 KM CAMINHADA
21/03/1988,Masculino,São Paulo,Vamu Correr Ibiúna,5 KM
11/04/2004,Feminino,Sorocaba,ACM/FEFISO,5 KM
05/06/2005,Masculino,Salto de Pirapora,,5 KM
17/08/2000,Masculino,Sorocaba,,5 KM
10/02/1993,Feminino,Sorocaba,,5 KM
26/02/1981,Feminino,Votorantim,,5 KM
25/01/1975,Feminino,Votorantim,,5 KM
13/07/2005,Feminino,Sorocaba,,5 KM
03/10/1990,Feminino,Sorocaba,,5 KM
05/04/1989,Feminino,Sorocaba,S2 Acessoria,5 KM
21/07/1989,Masculino,Sorocaba,,5 KM
04/06/1973,Feminino,Sorocaba,Studio MP,5 KM
11/03/1993,Feminino,Sorocaba,Não tem,5 KM
17/08/1990,Masculino,Sorocaba,Não tem,5 KM
29/05/1986,Masculino,Sorocaba,,10 KM
16/12/2009,Feminino,Sorocaba,Não tem,5 KM
13/07/1987,Masculino,Sorocaba,Os Kenianos,5 KM
25/11/1990,Masculino,Sorocaba,,5 KM
31/10/1979,Feminino,Sorocaba,FT Assessoria,5 KM
03/05/1980,Feminino,Sorocaba,,3 KM CAMINHADA
30/07/1975,Feminino,Votorantim,,3 KM CAMINHADA
09/02/2009,Feminino,Votorantim,,3 KM CAMINHADA
26/01/1949,Feminino,Sorocaba,,3 KM CAMINHADA
18/08/1986,Feminino,Sorocaba,,5 KM
20/11/1992,Feminino,Sorocaba,,5 KM
11/03/1994,Feminino,Votorantim,,10 KM
01/06/1981,Masculino,Sorocaba,,5 KM
22/06/1968,Masculino,Salto de Pirapora,,5 KM
25/07/1986,Masculino,Sorocaba,,10 KM
15/12/2005,Feminino,Votorantim,Live!+,5 KM
16/11/1989,Masculino,Sorocaba,,10 KM
10/06/1986,Masculino,Sorocaba,DesBravadores Limitados,10 KM
02/09/1967,Masculino,Sorocaba,ASB,5 KM
13/07/1997,Masculino,Sorocaba,Amanda Libaneo,10 KM
09/01/1984,Feminino,Sorocaba,,5 KM
05/09/1979,Masculino,Tatuí,Evolution,5 KM
09/07/1981,Feminino,Sorocaba,,5 KM
06/03/1997,Feminino,Sorocaba,,5 KM
15/10/2003,Masculino,Sorocaba,,10 KM
30/09/2002,Feminino,Sorocaba,,5 KM
31/07/1998,Masculino,Sorocaba,,5 KM
05/11/1993,Masculino,Sorocaba,Usg,5 KM
22/07/1988,Feminino,Sorocaba,,5 KM
09/09/1980,Feminino,Sorocaba,MOOD RUN,5 KM
26/07/1994,Masculino,Pilar do sul,,5 KM
04/09/1973,Masculino,Votorantim,,5 KM
13/04/2001,Masculino,Indaiatuba,Toya Runners club,5 KM
22/06/1994,Feminino,Sorocaba,,10 KM
21/11/1982,Masculino,Sorocaba,,5 KM
11/06/2009,Masculino,Ibiúna,,5 KM
20/03/1987,Feminino,Votorantim,,5 KM
10/04/1968,Feminino,Votorantim,,5 KM
21/01/1975,Masculino,Sorocaba,MOOD RUN,10 KM
04/05/1988,Feminino,Sorocaba,nenhuma,5 KM
22/06/1971,Feminino,Alumínio,,3 KM CAMINHADA
22/10/1993,Feminino,Sorocaba,,10 KM
17/09/1989,Feminino,Votorantim,,10 KM
14/08/1987,Masculino,Sorocaba,,5 KM
20/10/1994,Masculino,Sorocaba,Jaguara,10 KM
12/10/1981,Feminino,Votorantim,,5 KM
05/02/1986,Feminino,Sorocaba,,5 KM
07/12/1991,Masculino,Votorantim,,5 KM
02/12/1978,Feminino,Sorocaba,,3 KM CAMINHADA
03/02/1997,Masculino,Votorantim,,5 KM
27/09/1997,Masculino,Votorantim,,3 KM CAMINHADA
05/05/1984,Feminino,Sorocaba,,5 KM
08/07/2009,Masculino,Sorocaba,IF RUNNING,5 KM
03/09/1966,Feminino,Votorantim,,3 KM CAMINHADA
04/11/1982,Masculino,Sorocaba,,5 KM
19/09/2019,Feminino,Sorocaba,Tres meninas,3 KM CAMINHADA
24/07/1997,Feminino,Votorantim,,5 KM
09/07/1986,Feminino,Votorantim,,5 KM
19/09/2019,Feminino,Sorocaba,Tres meninas,3 KM CAMINHADA
17/09/1977,Feminino,Sorocaba,IF RUNNING,5 KM
19/10/1971,Feminino,Sorocaba,,3 KM CAMINHADA
12/12/1966,Masculino,Sorocaba,,3 KM CAMINHADA
19/10/1986,Masculino,Votorantim,,5 KM
18/10/2003,Masculino,Sorocaba,,10 KM
27/12/2000,Masculino,Votorantim,,5 KM
28/04/1992,Feminino,Votorantim,,5 KM
30/11/1982,Feminino,Sorocaba,,5 KM
12/09/1971,Feminino,Votorantim,,5 KM
03/05/1980,Masculino,Sorocaba,,5 KM
23/11/1974,Masculino,Sorocaba,Atitude,5 KM
19/07/1998,Feminino,Sorocaba,,5 KM
22/01/1979,Feminino,Sorocaba,,5 KM
05/07/2007,Masculino,Cotia,Os Primos,5 KM
15/09/1978,Masculino,Sorocaba,,5 KM
14/01/1996,Feminino,Araçoiaba da Serra,,5 KM
10/05/1996,Feminino,Ibiúna,MXRUN,5 KM
07/05/1994,Masculino,Itu,MY Box,10 KM
18/07/1975,Masculino,Sorocaba,Campestrini Trânsito,5 KM
27/03/1986,Feminino,SÃo Roque,,5 KM
04/10/1975,Masculino,Cotia,Os Primos,5 KM
20/05/1985,Feminino,Sorocaba,Equipe 6 caneco,5 KM
05/08/1993,Feminino,Araçoiaba da Serra,,5 KM
31/07/1972,Masculino,Sorocaba,,5 KM
14/08/1989,Masculino,Sorocaba,,10 KM
20/03/1989,Feminino,Araçoiaba da Serra,,3 KM CAMINHADA
26/10/1959,Masculino,Osasco,,5 KM
09/08/1991,Feminino,Araçariguama,Team Destróia,5 KM
02/05/1999,Feminino,Sorocaba,,5 KM
01/12/1989,Feminino,Sorocaba,,5 KM
30/06/1997,Masculino,São Roque,,5 KM
09/01/1988,Masculino,Votorantim,,5 KM
17/03/1980,Masculino,Sorocaba,,5 KM
02/10/1970,Masculino,Sarapuí,sarapuí,5 KM
26/08/1992,Feminino,Sorocaba,TRC,5 KM
14/12/1971,Feminino,Sarapuí,sarapuí,5 KM
07/11/1966,Masculino,Cabreúva,Mesquita run cabreuva,5 KM
08/01/2014,Feminino,Cabreúva,Mesquita run cabreuva,3 KM CAMINHADA
20/06/2006,Feminino,Sorocaba,ESTER10-FP2025,5 KM
16/07/1986,Feminino,Sorocaba,Mood,5 KM
31/07/1984,Masculino,Sorocaba,Mood,5 KM
27/03/2006,Feminino,Sorocaba,,5 KM
27/03/2006,Feminino,Sorocaba,,5 KM
06/06/1999,Masculino,Sorocaba,,5 KM
27/11/1999,Masculino,Itapajé,,5 KM
29/12/1977,Masculino,Sorocaba,Live+,10 KM
10/05/1980,Feminino,Sorocaba,Msteam,5 KM
26/03/1993,Feminino,Cabreúva,Mesquita run Cabreuva,5 KM
05/10/1994,Masculino,Sorocaba,,5 KM
18/04/2010,Feminino,Sorocaba,,5 KM
18/07/2009,Masculino,Sorocaba,,5 KM
12/04/1997,Masculino,Votorantim,Divas que correm,5 KM
05/06/1977,Feminino,Sorocaba,,5 KM
04/05/1995,Feminino,Vargem Grande Paulista,Os primos,5 KM
25/05/1996,Feminino,Sorocaba,,10 KM
12/02/2004,Masculino,Sorocaba,,10 KM
24/06/1996,Masculino,Sorocaba,,10 KM
27/11/1981,Feminino,Cotia,Os primos,10 KM
29/05/1990,Feminino,Sorocaba,,5 KM
31/12/1994,Masculino,São Roque,,10 KM
29/03/1983,Feminino,Itu,,5 KM
29/01/1954,Feminino,Sorocaba,,5 KM
01/10/1977,Masculino,Itu,,5 KM
05/11/2004,Masculino,Sorocaba,,5 KM
01/06/1995,Masculino,Sorocaba,,5 KM
28/04/2002,Masculino,Ibiúna,TEAM GB,5 KM
30/09/2001,Masculino,Itapetininga,Serafim,5 KM
22/03/1990,Masculino,Sorocaba,Nexxus,10 KM
04/01/1986,Masculino,Sorocaba,,5 KM
01/01/1991,Feminino,Sorocaba,,5 KM
29/10/1990,Feminino,Sorocaba,,5 KM
21/11/1987,Feminino,Sorocaba,Nenhum,3 KM CAMINHADA
23/05/1989,Masculino,Boituva,,5 KM
17/08/2001,Feminino,Sorocaba,,5 KM
18/10/1991,Feminino,Sorocaba,,5 KM
12/07/1984,Feminino,Sorocaba,,5 KM
