NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
02/06/1981,Masculino,Sorocaba,FÁTIKOS,10 KM
02/12/1992,Masculino,Sorocaba,Aasp,5 KM
20/12/1984,Masculino,Sorocaba,,5 KM
21/08/1981,Masculino,Sorocaba,Velozes e Registradores,10 KM
22/05/1988,Masculino,Sorocaba,,5 KM
02/09/1981,Masculino,São Paulo,e2m,10 KM
03/07/1987,Feminino,VOTORANTIM,EDEN RACE,10 KM
12/03/1979,Masculino,Sorocaba,,5 KM
21/09/1997,Feminino,Sorocaba,Não tem,10 KM
22/07/1990,Masculino,Sorocaba,,10 KM
15/10/1997,Feminino,Sorocaba,ACM/FEFISO,5 KM
21/07/1999,Masculino,Sorocaba,Acm Sorocaba/ Marcos porto,10 KM
04/04/2000,Masculino,Sorocaba,,5 KM
21/10/1985,Feminino,Sorocaba,,5 KM
18/02/1988,Feminino,Sorocaba,ACM/FEFISO,10 KM
11/01/1984,Masculino,Votorantim,ACM fefiso,10 KM
26/08/1990,Feminino,Sorocaba,,5 KM
28/08/1959,Masculino,Sorocaba,MOOD RUN,10 KM
20/09/1986,Feminino,Sorocaba,,5 KM
28/03/1973,Feminino,Votorantim,ACM-FEFISO-10,5 KM
06/04/1995,Masculino,Votorantim,ACM/FEFISO,10 KM
19/12/1988,Feminino,Sorocaba,Sem equipe,5 KM
22/02/1982,Masculino,Sorocaba,PAPO FURADO RUNNER,5 KM
05/04/1984,Masculino,Votorantim,Éden race,5 KM
01/10/1991,Feminino,Sorocaba,,5 KM
26/12/1989,Feminino,Votorantim,Acm,10 KM
26/12/1986,Masculino,Sorocaba,Éden Race,5 KM
31/01/1983,Masculino,Sorocaba,AASP,10 KM
04/07/1989,Masculino,Sorocaba,Éden Race,10 KM
02/08/1982,Feminino,Sorocaba,Ducorre,5 KM
21/01/1957,Masculino,Sorocaba,facilita juridico,10 KM
21/04/1978,Masculino,Votorantim,acm fefiso,5 KM
08/12/1976,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
28/10/1980,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
04/12/1979,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
25/05/1976,Feminino,SOROCABA,EDER PIRES ASSESSORIA,5 KM
03/09/1973,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
18/11/1955,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
12/06/1963,Masculino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
02/02/1975,Masculino,SOROCABA,EDER PIRES ASSESSORIA,5 KM
15/06/1966,Masculino,Sorocaba,Equipe Bill,10 KM
27/02/1964,Feminino,Sorocaba,Equipe Bill,5 KM
14/02/1981,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
29/09/1989,Feminino,Sorocaba,EDER PIRES ASSESSORIA,5 KM
05/06/2003,Feminino,Sorocaba,OPEN RUN,5 KM
08/01/1967,Feminino,Sorocaba,OPEN RUN,10 KM
24/05/1985,Feminino,Sorocaba,AASP,5 KM
16/09/1999,Feminino,Sorocaba,CeiPre fisioterapia,5 KM
07/02/1973,Feminino,Votorantim,,10 KM
05/12/1999,Masculino,PIEDADE,Assessoria Carlos Barros,5 KM
18/07/1990,Feminino,Sorocaba,Run Up,5 KM
27/08/1959,Feminino,Sorocaba,,3 KM CAMINHADA
20/12/1990,Feminino,Sorocaba,,10 KM
27/01/1971,Masculino,SOROCABA,FÊNIX RUNNING,10 KM
25/11/1973,Masculino,SOROCABA,FÊNIX RUNNING,10 KM
28/09/1984,Masculino,SOROCABA,FÊNIX RUNNING,10 KM
14/06/1957,Masculino,SOROCABA,FÊNIX RUNNING,5 KM
17/02/1997,Masculino,SOROCABA,FÊNIX RUNNING,5 KM
20/08/1987,Feminino,SOROCABA,FÊNIX RUNNING,5 KM
12/12/1999,Feminino,Sorocaba,,5 KM
11/05/1999,Masculino,Sorocaba,Garagem WD,10 KM
03/07/1989,Masculino,Sorocaba,,5 KM
11/06/1992,Feminino,Sorocaba,Biopraxis,5 KM
15/12/1974,Masculino,Votorantim,,5 KM
15/08/1992,Feminino,Sorocaba,Elisyon,5 KM
04/01/1997,Masculino,Votorantim,ACM /FEFISO,5 KM
24/10/1996,Masculino,Sorocaba,Marcos Porto Personal,5 KM
09/12/1968,Masculino,Sorocaba,,5 KM
18/06/1993,Feminino,Sorocaba,,10 KM
10/10/1982,Feminino,Sorocaba,Eden Race,PCD
23/05/1951,Masculino,Sorocaba,Avulso,5 KM
29/10/1982,Masculino,Sorocaba,,10 KM
21/03/1985,Feminino,Sorocaba,,PCD
23/11/1991,Masculino,Sorocaba,Ceipre Fisioterapia,5 KM
26/05/1977,Masculino,Sorocaba,Drogaria jardim Gonçalves,5 KM
15/08/1982,Feminino,Sorocaba,Tal Mãe Tal Filha,5 KM
